0,1,2,3,4,5,6,7,8,9
2,43,24,0,1,3,4,5,6,7
5,34,10,36,0,1,2,3,4,6
43,5,0,1,2,3,4,6,7,8
0,1,2,3,4,5,6,7,8,9
39,3,0,1,2,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
5,0,1,2,3,4,6,7,8,9
0,1,2,3,4,5,6,7,8,9
35,4,39,37,26,0,1,2,3,5
37,0,1,2,3,4,5,6,7,8
38,4,0,1,2,3,5,6,7,8
33,0,1,2,3,4,5,6,7,8
39,0,1,2,3,4,5,6,7,8
22,37,11,32,0,1,2,3,4,5
38,39,0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7,8,9
37,0,1,2,3,4,5,6,7,8
10,36,0,1,2,3,4,5,6,7
39,0,1,2,3,4,5,6,7,8
8,40,0,1,2,3,4,5,6,7
37,41,0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7,8,9
42,38,41,0,1,2,3,4,5,6
3,0,1,2,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
39,0,1,2,3,4,5,6,7,8
5,42,0,1,2,3,4,6,7,8
36,0,1,2,3,4,5,6,7,8
36,35,40,39,41,0,1,2,3,4
9,0,1,2,3,4,5,6,7,8
5,26,0,1,2,3,4,6,7,8
0,1,2,3,4,5,6,7,8,9
41,43,0,1,2,3,4,5,6,7
37,38,41,0,1,2,3,4,5,6
41,4,0,1,2,3,5,6,7,8
38,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
37,0,1,2,3,4,5,6,7,8
8,0,1,2,3,4,5,6,7,9
15,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
2,43,12,0,1,3,4,5,6,7
0,1,2,3,4,5,6,7,8,9
8,41,0,1,2,3,4,5,6,7
34,4,9,37,0,1,2,3,5,6
6,5,42,38,0,1,2,3,4,7
39,3,26,40,0,1,2,4,5,6
35,0,1,2,3,4,5,6,7,8
42,0,1,2,3,4,5,6,7,8
9,38,0,1,2,3,4,5,6,7
7,0,1,2,3,4,5,6,8,9
34,0,1,2,3,4,5,6,7,8
40,42,38,0,1,2,3,4,5,6
6,0,1,2,3,4,5,7,8,9
0,37,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
39,0,1,2,3,4,5,6,7,8
39,0,1,2,3,4,5,6,7,8
36,43,0,1,2,3,4,5,6,7
40,43,37,9,0,1,2,3,4,5
0,1,2,3,4,5,6,7,8,9
34,0,1,2,3,4,5,6,7,8
6,37,0,1,2,3,4,5,7,8
0,1,2,3,4,5,6,7,8,9
39,36,8,0,1,2,3,4,5,6
22,27,28,37,0,1,2,3,4,5
7,39,0,1,2,3,4,5,6,8
38,40,0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7,8,9
25,38,8,7,42,0,1,2,3,4
0,1,2,3,4,5,6,7,8,9
5,0,1,2,3,4,6,7,8,9
38,37,0,1,2,3,4,5,6,7
37,39,0,1,2,3,4,5,6,7
37,0,1,2,3,4,5,6,7,8
24,0,1,2,3,4,5,6,7,8
36,35,25,0,1,2,3,4,5,6
38,0,1,2,3,4,5,6,7,8
10,0,1,2,3,4,5,6,7,8
41,0,1,2,3,4,5,6,7,8
5,39,6,0,1,2,3,4,7,8
39,25,0,1,2,3,4,5,6,7
42,38,39,0,1,2,3,4,5,6
39,15,36,0,1,2,3,4,5,6
26,0,1,2,3,4,5,6,7,8
15,42,37,0,1,2,3,4,5,6
9,8,0,1,2,3,4,5,6,7
2,40,0,1,3,4,5,6,7,8
38,39,0,1,2,3,4,5,6,7
42,0,1,2,3,4,5,6,7,8
5,38,4,25,11,0,1,2,3,6
6,0,1,2,3,4,5,7,8,9
0,1,2,3,4,5,6,7,8,9
43,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
41,39,37,0,1,2,3,4,5,6
43,2,0,1,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
36,0,1,2,3,4,5,6,7,8
33,41,0,1,2,3,4,5,6,7
34,9,0,1,2,3,4,5,6,7
15,0,1,2,3,4,5,6,7,8
43,0,1,2,3,4,5,6,7,8
37,33,43,0,1,2,3,4,5,6
39,42,41,40,0,1,2,3,4,5
41,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
34,0,1,2,3,4,5,6,7,8
15,0,1,2,3,4,5,6,7,8
2,9,35,5,22,0,1,3,4,6
36,42,0,1,2,3,4,5,6,7
11,0,1,2,3,4,5,6,7,8
40,9,34,0,1,2,3,4,5,6
40,0,1,2,3,4,5,6,7,8
8,0,1,2,3,4,5,6,7,9
41,7,22,0,1,2,3,4,5,6
34,0,1,2,3,4,5,6,7,8
35,41,38,27,0,1,2,3,4,5
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
9,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
35,0,1,2,3,4,5,6,7,8
33,0,1,2,3,4,5,6,7,8
33,11,0,1,2,3,4,5,6,7
10,0,1,2,3,4,5,6,7,8
35,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
40,33,34,0,1,2,3,4,5,6
1,0,2,3,4,5,6,7,8,9
36,0,1,2,3,4,5,6,7,8
34,0,1,2,3,4,5,6,7,8
4,0,1,2,3,5,6,7,8,9
27,2,0,1,3,4,5,6,7,8
39,0,1,2,3,4,5,6,7,8
34,0,1,2,3,4,5,6,7,8
40,42,0,1,2,3,4,5,6,7
38,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
36,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
39,41,0,1,2,3,4,5,6,7
37,0,1,2,3,4,5,6,7,8
5,0,1,2,3,4,6,7,8,9
35,40,33,0,1,2,3,4,5,6
2,38,0,1,3,4,5,6,7,8
41,36,0,1,2,3,4,5,6,7
0,1,2,3,4,5,6,7,8,9
28,11,0,1,2,3,4,5,6,7
38,37,9,0,1,2,3,4,5,6
35,26,0,1,2,3,4,5,6,7
5,0,1,2,3,4,6,7,8,9
40,0,1,2,3,4,5,6,7,8
16,36,0,1,2,3,4,5,6,7
38,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
15,0,1,2,3,4,5,6,7,8
10,0,1,2,3,4,5,6,7,8
35,0,1,2,3,4,5,6,7,8
6,0,1,2,3,4,5,7,8,9
40,36,10,0,1,2,3,4,5,6
35,38,40,0,1,2,3,4,5,6
33,15,34,0,1,2,3,4,5,6
41,0,1,2,3,4,5,6,7,8
8,3,36,40,0,1,2,4,5,6
41,1,39,37,0,2,3,4,5,6
0,1,2,3,4,5,6,7,8,9
36,0,1,2,3,4,5,6,7,8
8,40,0,1,2,3,4,5,6,7
5,37,0,1,2,3,4,6,7,8
22,40,37,32,0,1,2,3,4,5
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
41,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
39,6,40,4,0,1,2,3,5,7
0,1,2,3,4,5,6,7,8,9
37,0,1,2,3,4,5,6,7,8
28,0,1,2,3,4,5,6,7,8
41,35,0,1,2,3,4,5,6,7
36,2,0,1,3,4,5,6,7,8
37,3,0,1,2,4,5,6,7,8
40,8,0,1,2,3,4,5,6,7
34,2,15,0,1,3,4,5,6,7
41,42,35,0,1,2,3,4,5,6
9,0,1,2,3,4,5,6,7,8
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
41,38,39,0,1,2,3,4,5,6
39,9,27,42,0,1,2,3,4,5
36,0,1,2,3,4,5,6,7,8
4,0,1,2,3,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
0,1,2,3,4,5,6,7,8,9
38,39,6,0,1,2,3,4,5,7
5,4,38,34,36,15,0,1,2,3
